date,actif,derniere_bougie,prix,rsi2,sma200,sma5,tendance_haussiere,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-15 18:38 UTC,S&P 500 (SPY),2026-07-15T18:30:00Z,754.59,91.1,752.2,753.56,True,HOLD,0.0,1000.0,0.0,,,1000.0
2026-07-15 22:32 UTC,S&P 500 (SPY),2026-07-15T19:30:00Z,754.77,100.0,752.17,754.05,True,HOLD,0.0,1000.0,0.0,,,1000.0
